customer_id,Recency,Frequency,Monetary,R_Score,F_Score,M_Score,Refined_Segment,loyalty_tier,support_ticket_count,city_tier,age_group,acquisition_channel
CUST00001,168,6,2955.57,2,4,3,04_Needs Nurturing,Silver,2,Tier 1,18-24,Instagram
CUST00002,35,3,1713.1,4,2,2,03_Promising,Silver,1,Tier 2,25-34,Marketplace
CUST00003,232,1,649.98,1,1,1,06_At-Risk (Dormant),None,0,Tier 1,25-34,Influencer
CUST00004,192,1,1604.04,2,1,2,06_At-Risk (Dormant),None,0,Tier 3,25-34,Google Search
CUST00005,11,6,3910.43,5,4,4,01_Champions,Gold,1,Tier 3,35-44,Organic
CUST00006,55,6,3987.46,3,4,4,02_Loyal & Engaged,Silver,2,Tier 2,35-44,Instagram
CUST00007,3,2,1219.9,5,1,2,03_Promising,None,0,Tier 1,18-24,Organic
CUST00008,45,6,3647.9900000000002,3,4,4,02_Loyal & Engaged,Silver,1,Tier 2,18-24,Organic
CUST00009,29,2,803.99,4,1,1,08_Unclassified,None,0,Tier 1,25-34,Influencer
CUST00010,9,2,1984.18,5,1,2,03_Promising,None,0,Tier 1,18-24,Influencer
CUST00011,7,4,2912.49,5,3,3,02_Loyal & Engaged,Gold,0,Tier 2,18-24,Referral
CUST00012,111,2,2051.63,2,1,2,05_At-Risk (High Concern),None,1,Tier 2,35-44,Instagram
CUST00013,3,4,2934.52,5,3,3,02_Loyal & Engaged,None,1,Tier 3,35-44,Google Search
CUST00014,1,13,9108.63,5,5,5,01_Champions,None,2,Tier 2,18-24,Referral
CUST00015,1,5,5805.34,5,4,5,01_Champions,Gold,0,Tier 2,25-34,Google Search
CUST00016,276,1,478.02,1,1,1,05_At-Risk (High Concern),None,1,Tier 2,18-24,Instagram
CUST00017,347,3,1699.1399999999999,1,2,2,06_At-Risk (Dormant),None,0,Tier 3,35-44,Referral
CUST00018,172,1,329.21,2,1,1,06_At-Risk (Dormant),Silver,0,Tier 1,35-44,Marketplace
CUST00019,35,3,2719.02,4,2,3,03_Promising,Gold,0,Tier 1,18-24,Referral
CUST00020,429,3,4487.950000000001,1,2,4,05_At-Risk (High Concern),None,1,Tier 3,45+,Instagram
CUST00021,138,2,1059.3,2,1,1,05_At-Risk (High Concern),Silver,1,Tier 2,25-34,Marketplace
CUST00022,37,2,1332.67,4,1,2,03_Promising,None,0,Tier 1,18-24,Instagram
CUST00023,42,2,772.04,4,1,1,08_Unclassified,Gold,0,Tier 3,18-24,Google Search
CUST00024,14,2,967.97,5,1,1,08_Unclassified,None,0,Tier 1,25-34,Marketplace
CUST00025,226,7,4868.86,1,5,5,08_Unclassified,None,3,Tier 2,18-24,Referral
CUST00026,41,4,4521.43,4,3,4,02_Loyal & Engaged,None,1,Tier 2,25-34,Referral
CUST00027,15,2,2666.0,5,1,3,03_Promising,None,1,Tier 1,45+,Instagram
CUST00028,4,3,1853.73,5,2,2,03_Promising,None,1,Tier 1,25-34,Influencer
CUST00029,12,11,7122.8,5,5,5,01_Champions,None,0,Tier 2,35-44,Referral
CUST00030,16,7,3884.46,5,5,4,01_Champions,Gold,2,Tier 1,25-34,Google Search
CUST00031,110,1,672.95,2,1,1,06_At-Risk (Dormant),None,0,Tier 1,35-44,Marketplace
CUST00032,32,4,2456.0499999999997,4,3,3,02_Loyal & Engaged,Silver,0,Tier 1,35-44,Marketplace
CUST00033,15,6,3548.9,5,4,4,01_Champions,Gold,2,Tier 3,18-24,Google Search
CUST00034,53,7,4165.39,3,5,4,02_Loyal & Engaged,Gold,3,Tier 2,25-34,Marketplace
CUST00035,188,3,1369.71,2,2,2,06_At-Risk (Dormant),Silver,0,Tier 2,18-24,Google Search
CUST00036,88,4,1737.33,3,3,2,04_Needs Nurturing,Silver,1,Tier 3,18-24,Referral
CUST00037,9,3,2021.52,5,2,2,03_Promising,None,0,Tier 1,35-44,Influencer
CUST00038,11,6,2761.52,5,4,3,02_Loyal & Engaged,None,1,Tier 3,35-44,Marketplace
CUST00039,31,4,2094.09,4,3,2,03_Promising,None,0,Tier 2,25-34,Instagram
CUST00040,215,1,634.73,1,1,1,05_At-Risk (High Concern),None,1,Tier 3,18-24,Instagram
CUST00041,115,4,1911.8600000000001,2,3,2,04_Needs Nurturing,Silver,1,Tier 3,25-34,Referral
CUST00042,46,10,7919.28,3,5,5,02_Loyal & Engaged,Silver,6,Tier 1,35-44,Organic
CUST00043,12,2,705.3199999999999,5,1,1,08_Unclassified,Gold,0,Tier 2,45+,Influencer
CUST00044,58,4,3409.6499999999996,3,3,4,02_Loyal & Engaged,None,1,Tier 2,35-44,Google Search
CUST00045,157,1,413.75,2,1,1,06_At-Risk (Dormant),None,0,Tier 1,25-34,Referral
CUST00046,188,1,489.87,2,1,1,06_At-Risk (Dormant),Gold,0,Tier 1,25-34,Referral
CUST00047,265,1,764.43,1,1,1,06_At-Risk (Dormant),Gold,0,Tier 1,25-34,Organic
CUST00048,11,5,2860.14,5,4,3,02_Loyal & Engaged,Silver,1,Tier 1,25-34,Marketplace
CUST00049,39,2,1172.61,4,1,2,03_Promising,None,0,Tier 1,25-34,Marketplace
CUST00050,56,4,3169.58,3,3,4,02_Loyal & Engaged,Gold,1,Tier 3,25-34,Referral
CUST00051,271,4,4444.3,1,3,4,08_Unclassified,None,2,Tier 3,35-44,Instagram
CUST00052,116,3,2807.14,2,2,3,05_At-Risk (High Concern),Silver,1,Tier 1,35-44,Marketplace
CUST00053,10,6,5422.92,5,4,5,01_Champions,Silver,2,Tier 2,25-34,Instagram
CUST00054,23,2,1154.37,4,1,1,08_Unclassified,None,0,Tier 1,35-44,Referral
CUST00055,1,4,1707.24,5,3,2,03_Promising,None,1,Tier 3,25-34,Marketplace
CUST00056,53,5,4169.73,3,4,4,02_Loyal & Engaged,None,1,Tier 2,35-44,Google Search
CUST00057,197,2,2510.83,2,1,3,06_At-Risk (Dormant),None,0,Tier 2,25-34,Google Search
CUST00058,49,5,3930.75,3,4,4,04_Needs Nurturing,None,0,Tier 1,25-34,Google Search
CUST00059,9,5,5050.94,5,4,5,01_Champions,Silver,0,Tier 1,25-34,Google Search
CUST00060,206,1,293.22,1,1,1,06_At-Risk (Dormant),None,0,Tier 1,25-34,Instagram
